Last Name,First Name,Training,Hospital / Medical school,Work City,Work State,Work Country,Continent,Company,"GCC & BOSC Meetings, Wed-Thu, June 27-28","CollaborationFest: Encore, Sunday, July 1","CollaborationFest: Encore, Monday, July 2",Industry,University,Other Research Organization,"Galaxy Training, Monday, June 25","All Topics Training, Tuesday, June 26","CollaborationFest: Core, Fri-Sat, June 29-30"
Conda,Sue,Intro to Galaxy Administration; Introduction to Common Workflow Language; Conda and Containers; Galaxy Architecture,,Barcelona,,Spain,Europe,Company A,"GCC & BOSC Meetings, Wed-Thu, June 27-28",,,,University,,"Galaxy Training, Monday, June 25","All Topics Training, Tuesday, June 26","CollaborationFest: Core, Fri-Sat, June 29-30"
Containers,Dave ,"Setting up for success: Everything you need to know when planning for an RNA-seq analysis II; Intro to Using Galaxy (Galaxy 101, RNA-Seq with Galaxy, Galaxy for Proteogenomics); Conda and Containers; Setting up for success: Everything you need to know when planning for an RNA-seq analysis I",,São Paulo,São Paulo,Brazil,South America,Company B,"GCC & BOSC Meetings, Wed-Thu, June 27-28","CollaborationFest: Encore, Sunday, July 1","CollaborationFest: Encore, Monday, July 2",,University,,"Galaxy Training, Monday, June 25","All Topics Training, Tuesday, June 26","CollaborationFest: Core, Fri-Sat, June 29-30"
Include,Nai-Wen,Intro to Galaxy Administration; Practical use of the Galaxy API command line tools; Conda and Containers; Galaxy Architecture,,Zurich,,Switzerland,Europe,Company C,"GCC & BOSC Meetings, Wed-Thu, June 27-28",,,,,Other Research Organization,"Galaxy Training, Monday, June 25","All Topics Training, Tuesday, June 26","CollaborationFest: Core, Fri-Sat, June 29-30"
Breakfast,Ganesh,Intro to Galaxy Administration; Introduction to Common Workflow Language; GATK4: What's new and how to run it; Community built analyses that run everywhere with bcbio,,Boston,Massachusetts,the United States,North America,Company G,"GCC & BOSC Meetings, Wed-Thu, June 27-28","CollaborationFest: Encore, Sunday, July 1","CollaborationFest: Encore, Monday, July 2",,,Other Research Organization,"Galaxy Training, Monday, June 25","All Topics Training, Tuesday, June 26","CollaborationFest: Core, Fri-Sat, June 29-30"
Commons,Sue,,,Boston,Massachusetts,the United States,North America,Company G,"GCC & BOSC Meetings, Wed-Thu, June 27-28",,,,,Other Research Organization,,,
Reed,Dave ,Setting up for success: Everything you need to know when planning for an RNA-seq analysis II; Intro to Galaxy Administration; Conda and Containers; Setting up for success: Everything you need to know when planning for an RNA-seq analysis I,,Boston,Massachusetts,the United States,North America,Company G,"GCC & BOSC Meetings, Wed-Thu, June 27-28",,,,University,,"Galaxy Training, Monday, June 25","All Topics Training, Tuesday, June 26","CollaborationFest: Core, Fri-Sat, June 29-30"
Roberts,Nai-Wen,,,Cambridge,,the United Kingdom,Europe,Company N,"GCC & BOSC Meetings, Wed-Thu, June 27-28",,,,,Other Research Organization,,,"CollaborationFest: Core, Fri-Sat, June 29-30"
Checkin,Ganesh,GATK4: What's new and how to run it,,Cambridge,,the United Kingdom,Europe,Company U,"GCC & BOSC Meetings, Wed-Thu, June 27-28","CollaborationFest: Encore, Sunday, July 1","CollaborationFest: Encore, Monday, July 2",,,Other Research Organization,,"All Topics Training, Tuesday, June 26","CollaborationFest: Core, Fri-Sat, June 29-30"
Paycheck,Sue,"Setting up for success: Everything you need to know when planning for an RNA-seq analysis II; Intro to Using Galaxy (Galaxy 101, RNA-Seq with Galaxy, Galaxy for Proteogenomics); Bioinformatics Training and Education with the Galaxy Training Network; Setting up for success: Everything you need to know when planning for an RNA-seq analysis I; WDL: the Workflow Description Language",,Cambridge,,the United Kingdom,Europe,Company U,,,,,University,,"Galaxy Training, Monday, June 25","All Topics Training, Tuesday, June 26",
Joplin,Dave ,Intro to Galaxy Administration; Practical use of the Galaxy API command line tools; Bioinformatics Training and Education with the Galaxy Training Network; Command line workflow management systems: Snakemake and Nextflow; Community built analyses that run everywhere with bcbio,,Paris,,France,Europe,Hospital H,"GCC & BOSC Meetings, Wed-Thu, June 27-28","CollaborationFest: Encore, Sunday, July 1","CollaborationFest: Encore, Monday, July 2",Industry,,,"Galaxy Training, Monday, June 25","All Topics Training, Tuesday, June 26","CollaborationFest: Core, Fri-Sat, June 29-30"
